seller,name
Por Dell ,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11
Por Dell ,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11
Por 123 Comprou ,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR"
Por Vikings ,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR"
Por 123 Comprou ,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11
Por Vikings ,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta
,Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza
Por Acer Brasil ,Acer Predator Helios Neo PHN16-72-99MY Intel Ci9 14ªGeração 32GB 1TB SSD RTX4070 Windows11 Cor Preto
Por Dell ,Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11
Por Mobcom ,Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook
Por Dell ,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050
Por Acer Brasil ,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'"
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza"
Por Acer Brasil ,Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16
Por NegociuN ,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza"
Por Vikings ,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR"
Por Acer Brasil ,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037
Por INPOWER ,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H"
Por 123 Comprou ,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza"
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto"
Por Acer Brasil ,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL"
Por 123 Comprou ,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza"
,Notebook Hp Probook - Core I5 + 16 Gb Ddr4 + 256 Gb Ssd M2 Prateado (Recondicionado)
,Notebook Dell Latitude 3450 Core I5 5th 8gb Ssd 240gb Nf Cinza (Recondicionado)
Por INPOWER ,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H"
Por 123 Comprou ,Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD
Por 123 Comprou ,"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261"
Por Vikings ,Notebook Acer Vero AV15-53P-72JT Intel Core i7 – 1355U 13ªG 16GB 512GB SSD W11 15.6”
Por Vikings ,Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP
,Compatível Nova Cubierta Trasera Para Latitude E5320 E5330
Por 123 Comprou ,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto"
Por Mercado Livre ,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731"
Por Micro Livre ,Notebook Lenovo Thinkpad T480  I5 8a 8gb Ssd 256gb Preto (Recondicionado)
Por Mobcom ,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey
,"Notebook Dell Latitude 7280 I5 8gb Ram Ssd 240gb Tela 12,5 Cinza (Recondicionado)"
Por Micro Livre ,"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)"
Por Positivo ,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza
Por 123 Comprou ,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR"
Por Mobcom ,"Notebook Acer Aspire 5 A51545r74d Amd Ryzen 7 5700u 8gb 512gb Sdd Linux 156"""
Por Acer Brasil ,Notebook Acer Nitro 51uz Ci5 13ªg 16gb Ram 512ssd Rtx4050
Por Acer Brasil ,"Notebook Acer TravelMate Intel® Core™ i7–1355U de 13ª Geração 16GB RAM 512SSD Windows 11 Pro 14"" WUXGA TMP214-55-70G2"
Por Dell ,Notebook Dell Inspiron I15-i3100-a15p Core 3 8gb 512gb W11 Preto
Por NegociuN ,"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey"
