name,seller,reviews_rating,reviews_total,old_price,new_price,url
Capa Nova Compatível Com Dobradiça Ideapad 3-14iil05,,,,162,30,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=TD76krEgLIMxD%2Bx08BRMBCjMtITgl1iHFvF%2Ffnor2MydOZzgIIkr9dfisuBqhnb9jNlTEzudu9qrHjyVurVAMriFIMP8Jfrv8h%2FmQlWbEMwF3%2Blp6QWdRGMFo1cdDGXUeS%2FT%2F0Wfj4YPMPsN%2F2jnaqzOzKzxHBXYqkIQ%2BBDEXrMPnOjYW%2BtoSPoU1qZjeheu9RGQwu2szMfIz5hBGQQ%2B1RPi3Eouvc1u%2F5J9YnXZseTeUsFiYxfocBu82JQt%2F5PU3N8ScwcsLxBTDpGz5eQIq1ZkQnlJImjiY5qlN%2Fw%2FF8JDJJ4xGHnlZA5rjTZHn2n8c%2FNID5d75cYvMJAZX%2BoFcoAOFFdrenoF3dPQvm5iJapS%2F8ZtBOJgwHMxRDMUfss5LQ9mx0Lo4PxDrMKeAcq6t6hGQtTJ6YTvR9Ij9G9oxAbwSPzAPGav%2FZgvKAOc1cO3DhRI%2BWAY264bnxOehICeol6uwDZvbOeV9VRH2RmladbS3AC67KKp4SE2zZ4JyJk6%2Bj7OdC6a%2BzAzHfIi26NLWZWxuOR4e2tqEqiPCwUy8b4bJ1jcUaUffP9ClFmB6i6bwxJKGXDRuULZudjM2Md3RG2NFvzfLWxKyN%2FOfYhco9kVAg%3D%3D#polycard_client=search-nordic&is_advertising=true&search_layout=grid&position=1&type=pad&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae
Notebook I5 10gen Ssd 256gb 32gb Tela Touch Fhd Hdmi Usb-c N,Por INFO OUTLET ,5.0,(4),3.999,139,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Zo6cRhQQUOTlFEdSsfYltrpTDC%2FVYieBL0z1xk9OEVVmvCT1UBujpD3kwXBPV5uWq2w9wXDfTryaqfxb2TIyY81LZyJRJbO2dnVR9WDRksQwqDY9h0KgF4j0jaOyPv6N6bKtcWO7RGO54yHQeDtb6eYQ4T5uDIQqN4%2Fn%2Fy8NGL5x2bD7QqMjCRydtOocpX4TgW9H2iXQF9971Q7TykqVU4uzSZEZATL%2FH%2FDdeiIwawL2fxmpolEbw0BUN09JpjWCF2Z%2FqW5oL2UJuhAQeuRJ3pB7rLmZMFRUREPDr2qbZ97Jq0907hxgb6AqgjVmc2ZA4nlr7QYZz0oGoPN95LSGhUSArC9I24uRyF%2B0JrveVhqvM650XYAf7ZBI0pDc3SH72QTl6CSwYdpRZZoFuXal7aJV3i8MCPWfj3unsfIGeWizVT4hhjj2VYbM87uRKg48Ojryf00CXxnmNQGNU5UiZLf8sDqHh5ELJQGvF%2FN1CmZBIa9a%2FsD8COv%2FvuMsg82gO8vTh4dR%2BLFxyav362A9A3rWYySgMuKkAnpuO8KyTZ5LzzzDUW1Vms3ddXJYMAgSHU77LiAZDApRU2EClxvMLi2lQ5c5d9HgJjBNtxH%2FnTIEwC4TPc1cHA%3D%3D&searchVariation=179815922088#polycard_client=search-nordic&is_advertising=true&searchVariation=179815922088&search_layout=grid&position=2&type=pad&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae
"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Vikings ,4.8,(6222),3.998,133,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-intel-core-i3-1215u-8gb-ram-256gb-ssd-windows-11-home-tela-156-82vy000sbr/p/MLB30826763#polycard_client=search-nordic&wid=MLB3861236261&search_layout=grid&position=3&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por Vikings ,4.7,(832),2.712,1.969,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-celeron-office-365-4gb-128gb-w11/p/MLB41491320#polycard_client=search-nordic&wid=MLB5203109346&search_layout=grid&position=4&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(9358),4.499,144,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-u300-120-ghz-ate-44ghz-8-mb-l3-cache-windows-11-home-8gb-256gb-ssd-uhd-graphics-156-full-hd-led-155kg/p/MLB40347107#polycard_client=search-nordic&wid=MLB5194930972&search_layout=grid&position=5&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.6,(680),2.064,77,https://www.mercadolivre.com.br/notebook-multi-ultra-celeron-n4020c-4gb-128gb-w11-14-cinza/p/MLB32101651#polycard_client=search-nordic&wid=MLB3988106227&search_layout=grid&position=6&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza,Por offline teste ,4.8,(93),3.563,142,https://www.mercadolivre.com.br/notebook-vaio-fe15-amd-ryzen-5-8gb-ram-256gb-windows-11-home-cor-cinza/p/MLB38225921#polycard_client=search-nordic&wid=MLB4059830499&search_layout=grid&position=7&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,(940),4.599,200,https://www.mercadolivre.com.br/notebook-vaio-fe15-intel-core-i5-12th-16gb-512gb-ssd-tela-156-full-hd-antirreflexo-windows-11-home-cinza-grafite-b2621h/p/MLB34164101#polycard_client=search-nordic&wid=MLB3850031383&search_layout=grid&position=8&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,4.8,(1096),2.649,130,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-linux-keepos-156-fhd-black-e1504fa-nj731/p/MLB36772633#polycard_client=search-nordic&wid=MLB3746267799&search_layout=grid&position=9&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,Por 2Eletro ,4.9,(71),4.636,158,https://www.mercadolivre.com.br/notebook-acer-vero-av15-53p-56hm-intel-core-i5-1335u-156-full-hd-intel-iris-xe-512-gb-ssd-8-gb-ram-windows-11-home/p/MLB38693427#polycard_client=search-nordic&wid=MLB4150243141&search_layout=grid&position=10&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
